"filename", "language", "Python", "CSS", "XML", "HTML", "JavaScript", "pip requirements", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\select2\i18n\bn.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\select2\i18n\bs.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\select2\i18n\ca.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\select2\i18n\cs.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\select2\i18n\da.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\select2\i18n\de.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\select2\i18n\dsb.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\select2\i18n\el.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\select2\i18n\en.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\select2\i18n\es.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\select2\i18n\et.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\select2\i18n\eu.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\select2\i18n\fa.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\select2\i18n\fi.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\select2\i18n\fr.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\select2\i18n\gl.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\select2\i18n\he.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\select2\i18n\hi.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\select2\i18n\hr.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\select2\i18n\hsb.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\select2\i18n\hu.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\select2\i18n\hy.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\select2\i18n\id.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\select2\i18n\is.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\select2\i18n\it.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\select2\i18n\ja.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\select2\i18n\ka.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\select2\i18n\km.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\select2\i18n\ko.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\select2\i18n\lt.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\select2\i18n\lv.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\select2\i18n\mk.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\select2\i18n\ms.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\select2\i18n\nb.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\select2\i18n\ne.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\select2\i18n\nl.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\select2\i18n\pl.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\select2\i18n\ps.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\select2\i18n\pt-BR.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\select2\i18n\pt.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\select2\i18n\ro.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\select2\i18n\ru.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\select2\i18n\sk.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\select2\i18n\sl.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\select2\i18n\sq.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\select2\i18n\sr-Cyrl.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\select2\i18n\sr.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\select2\i18n\sv.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\select2\i18n\th.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\select2\i18n\tk.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\select2\i18n\tr.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\select2\i18n\uk.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\select2\i18n\vi.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\select2\i18n\zh-CN.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\select2\i18n\zh-TW.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\select2\select2.full.js", "JavaScript", 0, 0, 0, 0, 5102, 0, 0, 0, 384, 1335, 6821
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\select2\select2.full.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 2
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\xregexp\xregexp.js", "JavaScript", 0, 0, 0, 0, 3138, 0, 0, 0, 1271, 244, 4653
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\xregexp\xregexp.min.js", "JavaScript", 0, 0, 0, 0, 129, 0, 0, 0, 31, 1, 161
"c:\Users\support.user2\django_project_form\static\blog\main.css", "CSS", 0, 68, 0, 0, 0, 0, 0, 0, 0, 16, 84
"c:\Users\support.user2\django_project_form\static\rts_forms\bootstrap.min.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 6, 0, 7
